,body
650," hello sir alice-margaud-karz, yes it is possible to have a current account for your entrepreneur account, however, you will not be able to deposit liquidity. serna-henriques-almeida it suits you all the same, I can send you a request to open a current account. cordially. stéphane hurtado o&#39;brien-patel advisor bank connect max address: 101 avenue des champs elysées 12112 paris cedex 10 phone: 01 22 10 10 22 mail: dlugozima@bank.fr website: www.bank.fr ----- original message ----- from: alice-margaud-karz judy to: szpala / bank france date: 10/01/2012 10:10:10 subject: my accounts hello again I would like to know if it is possible to open a normal current account to manage the next operations related to my activity of auto entrepreneur. serna-henriques-almeida yes, can this be done quickly? thank you, judy alice-margaud-karz "
651," hello sir, is it possible to contact you this week by phone so that I can tell you the déstey-frohlich-weitzel to follow? Is there a particular szynkiewicz to your account closure request? I wish you a stephane-thomas day. Sincerely, gero ----- original message ----- from: king-williams-o&#39;miller-davies judy to: gero / bank france date: 22/10/2012 11:11:20 subject: my accounts hello , I want to close my checking account and stop my credit card. can you tell me the déstey-frohlich-weitzel to make and also the address to which I must send the mail. Yours sincerely king-williams-o&#39;miller-davies judy "
652," I take into account the information, moreover, I allow myself to relaunch you on the family solution, I have the insurer who tells me that he is still waiting for missing document, can you just send? cordially. stéphane hurtado o&#39;brien-patel advisor bank connect max address: 101 avenue des champs elysées 12112 paris cedex 10 phone: 01 22 10 10 22 mail: dlugozima@bank.fr website: www.bank.fr ----- original message ----- from: alice-margaud-karz judy to: szpala / bank france date: 10/01/2012 21:20:10 subject: my accounts hello again for information my employer pays me Wednesday 21 mauro Thursday 22 July . I am also waiting for a complementary cash flow in the next 2 to 1 weeks. Yours truly, judy alice-margaud-karz "
653," hello mr. junck-pohl, your pel was opened in october 2011 with a gross rate of 2.20%. Sincerely, nadèlaurent-guillaume lost ----- original message ----- from: junck-pohl judy to: elena / bank france date: 10/10/2012 10:22:22 subject: my accounts hello, I wish know the opening date of my pel and the rate of it. thank you "
654,"  ,   dear madam, i inform your accounts pezda reactivated teofil looks stranc gaspar-pacheco ----- original message ----- from: bender-lindner judy to: bank fr paris leconte-rey harvey-moore-lada succ / bank france date: 11/02/2012 12:12:11 topic: my accounts please activate both of my accounts. judy bender-lindner "
655," dear mrs, we had a problem with your signature but it&#39;Schlosser-Holzapfel-Mareike good now. the account Gargallo-Montana be close next week. sorry for the late. clemency Medrala ----- original message ----- from: Torres-Sala-Patterson-Rohleder-Geissler-Andersen-Sebastiao Judy to: Franck-Birger / Bank France date: Thorpe 11:12:22 topic: my accounts Carrasco-Chaves, I have already submitted my closing account application to the end of August, but still being charged to the account fee, and my account has not been closed yet. would Carvalho-Barba please where Gargallo-Montana the complete proceed? thank Carvalho-Barba and have a nice Josette-Susan! sent by mobile banking. "
656," hello the insurer requests a signed letter that you must attach herewith thank you to state at least the name of your contract + your other information ok by adding the destination funds (need trésorie , hughes-walker good consumption ...) with my thanks f noé ----- original message ----- of: ziegert judy a: terzo 1 the / bank france date: 10/01/2012 12:10: 22 topic: my accounts hello, I want to make a withdrawal of 220? net on my life insurance policy. thank you to opt for the flat-rate discharge and transfer funds to my bank account. in the meantime, I remain at your disposal. good to you. judy ziegert. mobile banking. "
657," dear mr tlustek-wagenknecht, carvalho-pinheiro. it seems as if it has been changed to your country of tax residence, please also fill out the self certification form available online. i remain at your disposal for monja crawford-lawrence or question. teofil regards, janisz bank france international wulf-salz ----- original message ----- from: tlustek-wagenknecht judy heinz-zeno-zapata-janiuk-patterson-kirk-howarth: janisz / bank france date: 01 / 02/2012 11:11:21 topic: my accounts dear madam, jaszczyszyn, could carvalho-pinheiro please update your virginia-pauline with our ines-sebastiao address? we moved from dubai to london and the ines-sebastiao one is: 2 radipole road, fulham, sw2 2dl, london, united kingdom. thanks heinz-zeno-zapata-janiuk-patterson-kirk-howarth lot teofil looks judy tlustek-wagenknecht sent by mobile banking. "
658," hello sir, please do not take care of this mail. serna-henriques-almeida you hold the first status to helmar-hernandez you kept well on your first status in France. Best regards. mle jose company-4387.net-jantsch ----- original message ----- from: thoralf judy to: wade-dixon-cook / bank france date: 10/1/2012 12:01:20 topic: my Hello, I recently received a letter telling me that my first bank status in France was going to be withdrawn. however my first bank status was given to helmar hernandez and I still meet the criteria for having it here at helmar hernandez. I therefore naturally ask you to maintain my first bank status in France as well. thank you for confirming that everything is in order. "
659," dear sir, the limit for the transfer is 10000 euros. if simona-barba need to make more, please tell me i gargallo-montana increase to crawford-anders-holt simona-barba. teofil regards, ----- original message ----- of: drobisz-norton-williams judy a: charles-pear-tree / fonseca / bank france date: 22/02/2012 11:02:11 topic: my accounts hi i want to know what is the limit of payment when using my online banking? i want to transfer tuition fees to my school schuchhardt-heuser montparnasse. how much is maximum limit for one transaction? thanks in advance kind regards, vincent-pierre-lemaire drobisz-norton-williams sent by mobile banking. "
660," carrasco-chaves, i received your document, i take care of it. teofil looks ----- original message ----- from: torres-sala-patterson-rohleder-geissler-andersen-sebastiao judy to: franck-birger / bank france date: 22/02/2012 01:10:12 subject: my accounts carrasco-chaves, terron this mail finds carvalho-barba well. I would like to close my account with my bank account, I have attached my letter of closure request bank account in this message. please let me know if carvalho-barba need any further information. thanks! all the teofil wilmsen-bolzmann "
